STATIONID,Value ,Grouping
20210407-0849-rwhiteash,40.5531835,Regular_IBI
20210407-0945-HuntingdonCCD,31.34211574,Regular_IBI
20210407-1030-jagrassi,46.99107781,Regular_IBI
20210407-1115-HuntingdonCCD,82.73858021,Regular_IBI
20210407-1115-rwhiteash,70.10163258,Regular_IBI
20210407-1215-HuntingdonCCD,49.49134184,Regular_IBI
20210407-1227-mhoger,49.53967703,Regular_IBI
20210407-1300-jagrassi,63.21978969,Regular_IBI
20210407-1313-rwhiteash,61.73620597,Regular_IBI
20210407-1315-HuntingdonCCD,52.06815502,Regular_IBI
20210407-1430-HuntingdonCCD,46.74902634,Regular_IBI
20210407-1530-HuntingdonCCD,55.64763416,Regular_IBI
20210408-0845-mhoger,74.70438706,Regular_IBI
20210408-0930-rwhiteash,53.50896351,Regular_IBI
20210408-1101-mhoger,68.1935799,Regular_IBI
20210408-1251-mhoger,59.91715032,Regular_IBI
20210412-1000-mbrickner,36.01478369,Regular_IBI
20210412-1130-mbrickner,41.24401611,Regular_IBI
20210412-1230-mbrickner,44.22345852,Regular_IBI
20210412-1330-mbrickner,66.94156967,Regular_IBI
20210412-1530-mbrickner,84.48403452,Regular_IBI
20210413-0742-mshank,85.55939251,Regular_IBI
20210413-0805-rwhiteash,92.4267627,Regular_IBI
20210413-0955-drebuck,88.91765857,Regular_IBI
20210413-0958-mshank,93.56750226,Regular_IBI
20210413-1100-rwhiteash,86.04366206,Regular_IBI
20210413-1146-mshank,33.31748571,Regular_IBI
20210413-1200-drebuck,76.88091098,Regular_IBI
20210413-1236-rwhiteash,23.97838564,Regular_IBI
20210413-1328-mshank,89.84007648,Regular_IBI
20210413-1410-drebuck,89.72344167,Regular_IBI
20210414-0742-rwhiteash,46.81726268,Regular_IBI
20210414-0900-mbrickner,90.24829154,Regular_IBI
20210414-0904-rwhiteash,70.0784139,Regular_IBI
20210414-0923-twertz,90.22301056,Regular_IBI
20210414-0940-drebuck,41.37995528,Regular_IBI
20210414-1023-rwhiteash,92.15737058,Regular_IBI
20210414-1027-twertz,66.6674364,Regular_IBI
20210414-1030-jbrancato,116.6382583,Regular_IBI
20210414-1040-smeans,95.72026313,Regular_IBI
20210414-1115-jbrancato,104.836672,Regular_IBI
20210414-1158-rwhiteash,78.71495104,Regular_IBI
20210414-1230-jbrancato,116.1102225,Regular_IBI
20210414-1300-smeans,102.5949487,Regular_IBI
20210414-1315-jbrancato,81.31123653,Regular_IBI
20210414-1337-rwhiteash,86.52531954,Regular_IBI
20210414-1345-drebuck,49.76987379,Regular_IBI
20210415-0728-rwhiteash,68.0606502,Regular_IBI
20210415-0755-shawnmille,58.15760393,Regular_IBI
20210415-0838-rwhiteash,71.78985657,Regular_IBI
20210415-0900-shawnmille,74.68595312,Regular_IBI
20210415-0930-smeans,65.87167982,Regular_IBI
20210415-1015-rwhiteash,90.82503874,Regular_IBI
20210415-1030-jbrancato,74.26707924,Regular_IBI
20210415-1030-smeans,51.86466493,Regular_IBI
20210415-1035-dushull,53.43924153,Regular_IBI
20210415-1110-dushull,53.40909408,Regular_IBI
20210415-1115-jbrancato,57.21696096,Regular_IBI
20210415-1215-dushull,52.48640944,Regular_IBI
20210415-1230-efilip,16.54330733,Regular_IBI
20210415-1430-efilip,24.65455348,Regular_IBI
20210415-1510-efilip,16.81921548,Regular_IBI
20210419-0703-mshank,74.57788978,Regular_IBI
20210419-0725-twertz,82.10395918,Regular_IBI
20210419-0821-twertz,83.33224244,Regular_IBI
20210419-0900-MifflinCCD,12.89024039,Regular_IBI
20210419-0923-twertz,73.48190673,Regular_IBI
20210419-0930-jagrassi,23.49797803,Regular_IBI
20210419-1020-jadetweile,1.178722634,Regular_IBI
20210419-1030-jagrassi,25.92844205,Regular_IBI
20210419-1030-smeans,65.02620593,Regular_IBI
20210419-1055-jadetweile,28.53591284,Regular_IBI
20210419-1100-MifflinCCD,21.64963174,Regular_IBI
20210419-1155-mshank,70.62061938,Regular_IBI
20210419-1248-mshank,78.76573794,Regular_IBI
20210419-1312-mshank,87.66629577,Regular_IBI
20210419-1330-MifflinCCD,33.20299795,Regular_IBI
20210419-1500-MifflinCCD,35.75156152,Regular_IBI
20210420-0900-MifflinCCD,31.72017902,Regular_IBI
20210420-1015-MifflinCCD,41.91110494,Regular_IBI
20210420-1115-jbrancato,66.44081243,Regular_IBI
20210420-1130-jadetweile,1.416911376,Regular_IBI
20210420-1130-MifflinCCD,45.36618033,Regular_IBI
20210420-1330-MifflinCCD,41.53737549,Regular_IBI
20210420-1500-MifflinCCD,43.77195475,Regular_IBI
20210421-0900-MifflinCCD,52.724477,Regular_IBI
20210421-1000-MifflinCCD,59.80365062,Regular_IBI
20210421-1115-MifflinCCD,50.70873624,Regular_IBI
20210421-1230-MifflinCCD,48.30497648,Regular_IBI
20210421-1345-MifflinCCD,53.1544578,Regular_IBI
20210421-1445-MifflinCCD,63.52574129,Regular_IBI
20210422-0627-mshank,99.3938858,Regular_IBI
20210422-0741-mshank,85.6968304,Regular_IBI
20210422-0828-mshank,66.10244722,Regular_IBI
20210422-0830-MifflinCCD,52.75300529,Regular_IBI
20210422-0942-mshank,91.04889517,Regular_IBI
20210422-1000-MifflinCCD,26.9278252,Regular_IBI
20210422-1045-jadetweile,65.40578734,Regular_IBI
20210422-1049-mshank,85.03975883,Regular_IBI
20210422-1100-HuntingdonCCD,63.17279819,Regular_IBI
20210422-1130-jadetweile,59.14694802,Regular_IBI
20210422-1205-mshank,84.52560005,Regular_IBI
20210422-1215-jbrancato,95.76033186,Regular_IBI
20210422-1230-HuntingdonCCD,27.17367289,Regular_IBI
20210422-1230-jadetweile,49.02280152,Regular_IBI
20210422-1320-mshank,94.14255094,Regular_IBI
20210422-1330-HuntingdonCCD,43.91395049,Regular_IBI
20210423-1000-jagrassi,73.76750187,Regular_IBI
20210426-0945-jadetweile,36.61756695,Regular_IBI
20210426-1030-jadetweile,46.32479185,Regular_IBI
20210426-1045-smeans,95.28980038,Regular_IBI
20210427-0626-mshank,85.01932901,Regular_IBI
20210427-0703-twertz,90.81877425,Regular_IBI
20210427-0802-mshank,57.99432896,Regular_IBI
20210427-0842-twertz,76.23688777,Regular_IBI
20210427-0927-mshank,83.94981133,Regular_IBI
20210427-1000-jadetweile,46.55356656,Regular_IBI
20210427-1000-twertz,80.98723385,Regular_IBI
20210427-1011-tdaley,59.22594301,Regular_IBI
20210427-1030-jaygerber,53.63262958,Regular_IBI
20210427-1100-jadetweile,44.0034819,Regular_IBI
20210427-1100-jaygerber,45.95242241,Regular_IBI
20210427-1130-jadetweile,81.0897617,Regular_IBI
20210427-1142-mshank,77.78333648,Regular_IBI
20210427-1200-jadetweile,46.91097715,Regular_IBI
20210427-1213-twertz,79.99356784,Regular_IBI
20210427-1252-mshank,99.38417706,Regular_IBI
20210427-1300-jadetweile,56.38506461,Regular_IBI
20210427-1315-jeremmille,89.40909005,Regular_IBI
20210427-1320-tdaley,89.19410389,Regular_IBI
20210427-1330-jadetweile,55.58518055,Regular_IBI
20210427-1445-tdaley,50.93866278,Regular_IBI
20210428-0800-dushull,58.17357278,Regular_IBI
20210428-0848-dushull,90.21602272,Regular_IBI
20210428-0920-rwhiteash,95.3017781,Regular_IBI
20210428-1005-rwhiteash,80.71922635,Regular_IBI
20210428-1105-dushull,66.84912706,Regular_IBI
20210428-1130-jlorson,56.01404335,Regular_IBI
20210428-1145-tdaley,91.16511467,Regular_IBI
20210428-1300-jlorson,52.05219435,Regular_IBI
20210428-1320-tdaley,31.862916,Regular_IBI
20210428-1410-jlorson,20.64617044,Regular_IBI
20210428-1440-tdaley,45.33568226,Regular_IBI
20210428-1630-tdaley,62.04767984,Regular_IBI
20210429-0840-rwhiteash,99.15861001,Regular_IBI
20210429-1100-jadetweile,62.10691527,Regular_IBI
20210430-1245-tdaley,86.03576175,Regular_IBI
20210503-1000-drebuck,88.17003907,Regular_IBI
20210503-1225-drebuck,50.96525731,Regular_IBI
20210504-0900-jadetweile,10.09150816,Regular_IBI
20210504-1000-jadetweile,10.65076611,Regular_IBI
20210504-1305-tdaley,91.34955464,Regular_IBI
20210505-0713-twertz,90.54244633,Regular_IBI
20210505-0757-mshank,86.81961307,Regular_IBI
20210505-0833-twertz,82.80246967,Regular_IBI
20210505-1014-mshank,57.57946,Regular_IBI
20210506-0930-jadetweile,13.96885395,Regular_IBI
20210506-1000-jadetweile,27.90721706,Regular_IBI
20210506-1325-tdaley,92.06538975,Regular_IBI
20210506-1655-tdaley,81.90342513,Regular_IBI
20210510-1305-drebuck,87.42471154,Regular_IBI
20210511-0840-ebendick,87.40043842,Regular_IBI
20210511-0915-jadetweile,20.14608954,Regular_IBI
20210511-1100-smeans,92.68402872,Regular_IBI
20210511-1230-smeans,84.54965561,Regular_IBI
20210512-0900-jadetweile,28.54844681,Regular_IBI
20210512-0930-jadetweile,24.82886199,Regular_IBI
20210512-1115-jadetweile,32.3657654,Regular_IBI
20210513-0955-drebuck,49.73997144,Regular_IBI
20210513-1420-drebuck,61.55593806,Regular_IBI
20210514-1115-tdaley,84.05913267,Regular_IBI
20210514-1210-tdaley,90.7532893,Regular_IBI
20210517-1000-jagrassi,63.01276338,Regular_IBI
20210517-1110-drebuck,61.93847907,Regular_IBI
20210517-1230-jagrassi,75.89795522,Regular_IBI
20210517-1240-drebuck,77.66069718,Regular_IBI
20210517-1430-drebuck,77.48732177,Regular_IBI
20210518-0930-jagrassi,53.80363805,Regular_IBI
20210518-0945-jadetweile,41.464741,Regular_IBI
20210518-1030-jagrassi,79.9427783,Regular_IBI
20210518-1045-jadetweile,22.21938066,Regular_IBI
20210519-0732-dushull,88.25117576,Regular_IBI
20210519-0906-dushull,62.5629957,Regular_IBI
20210519-0915-jadetweile,38.88556013,Regular_IBI
20210519-1008-dushull,61.67107617,Regular_IBI
20210519-1030-jagrassi,62.9905331,Regular_IBI
20210519-1200-jagrassi,60.48056021,Regular_IBI
20210520-0900-jagrassi,59.28084681,Regular_IBI
20210520-0930-jagrassi,70.97102158,Regular_IBI
20210520-1015-drebuck,104.8262586,Regular_IBI
20210520-1030-jagrassi,56.52700314,Regular_IBI
20210520-1100-jadetweile,15.33043235,Regular_IBI
20210520-1200-jadetweile,12.13398402,Regular_IBI
20210520-1230-jagrassi,58.46170902,Regular_IBI
20210520-1300-drebuck,85.41816209,Regular_IBI
20210524-0604-mshank,86.30689424,Regular_IBI
20210524-0801-mshank,85.95106008,Regular_IBI
20210524-1110-mshank,55.31178263,Regular_IBI
20210524-1130-jagrassi,46.49090145,Regular_IBI
20210525-0800-jagrassi,40.55055898,Regular_IBI
20210525-0830-jagrassi,54.24519848,Regular_IBI
20210525-1000-jagrassi,67.68928134,Regular_IBI
20210525-1145-jeremmille,91.4862522,Regular_IBI
20210601-0916-mshank,92.92792908,Regular_IBI
20210603-1040-tdaley,29.41746643,Regular_IBI
20210603-1155-tdaley,34.59557503,Regular_IBI
20210603-1240-tdaley,39.53096077,Regular_IBI
20210603-1320-tdaley,19.39842238,Regular_IBI
20210608-1040-recope,15.96410926,Regular_IBI
20210608-1230-recope,32.78424945,Regular_IBI
20210701-1015-jeremmille,74.21602071,Regular_IBI
20210701-1215-jeremmille,92.06340544,Regular_IBI
20210715-1345-tdaley,70.2733778,Regular_IBI
20210726-1145-jeremmille,75.54313997,Regular_IBI
20210726-1330-jeremmille,78.43669947,Regular_IBI
20210802-1005-drebuck,65.63495062,Regular_IBI
20210806-1020-drebuck,39.27785925,Regular_IBI
20210806-1250-drebuck,39.10702212,Regular_IBI
20210806-1425-drebuck,43.73253341,Regular_IBI
20210811-1130-ebendick,87.14490018,Regular_IBI
20210825-1100-jagrassi,50.73422778,Regular_IBI
20210825-1230-jagrassi,45.61526737,Regular_IBI
20210826-1000-jagrassi,32.1811738,Regular_IBI
20210826-1100-jagrassi,35.58365472,Regular_IBI
20210831-1015-jeremmille,85.25004655,Regular_IBI
20210831-1230-jeremmille,77.73691807,Regular_IBI
20210930-0945-jeremmille,79.28351598,Regular_IBI
20210930-1130-jeremmille,84.94172615,Regular_IBI
20211005-1015-jlorson,67.50529084,Regular_IBI
20211005-1100-jlorson,65.57400262,Regular_IBI
20211012-1015-jlorson,65.77251027,Regular_IBI
20211012-1100-jlorson,84.43013621,Regular_IBI
20211025-1120-jlorson,71.07827726,Regular_IBI
20211104-1116-slott,65.3066631,Regular_IBI
20211116-0945-ablascovic,65.28805434,Regular_IBI
20211116-1015-ablascovic,66.10051365,Regular_IBI
20211116-1045-ablascovic,44.12387302,Regular_IBI
20211116-1115-ablascovic,33.78826574,Regular_IBI
20211116-1130-jeremmille,88.73475813,Regular_IBI
20211116-1330-jeremmille,94.21874352,Regular_IBI
20211117-0845-ablascovic,56.6950263,Regular_IBI
20211117-0920-ablascovic,58.69348257,Regular_IBI
20211117-1045-ablascovic,59.43623801,Regular_IBI
20211117-1130-ablascovic,48.72878132,Regular_IBI
20211117-1200-ablascovic,66.78194867,Regular_IBI
20211118-1230-tdaley,79.77943385,Regular_IBI
20211118-1305-tdaley,76.33588367,Regular_IBI
